published_at,ticker,headline,source,score,scored_at,fetched_at
2026-08-25,TTWO,"Take-Two Interactive Software: GTA Tailwind Is Priced In, Mobile Declines Aren't",seekingalpha/TTWO,,,2026-09-22 16:55:06
2026-08-27,TTWO,"Bright lights, big city: Netflix will stream a special Grand Theft Auto 6 preview",seekingalpha/TTWO,,,2026-09-22 16:55:06
2026-08-27,TTWO,"Take-Two Interactive Software, Inc. 2027 Q1 - Results - Earnings Call Presentation",seekingalpha/TTWO,,,2026-09-22 16:55:06
2026-08-31,TTWO,Take-Two Interactive Software: The Street Is Missing The Big Picture,seekingalpha/TTWO,,,2026-09-22 16:55:06
2026-08-31,TTWO,Take-Two Interactive dips 7% amid heavy trading volume,seekingalpha/TTWO,,,2026-09-22 16:55:06
2026-09-01,CELH,Which mid-cap consumer staple stocks rank highest on quant ratings?,seekingalpha/CELH,,,2026-09-22 16:55:06
2026-09-08,CELH,"Celsius Holdings, Inc. (CELH) Presents at Barclays 19th Annual Global Consumer Staples Conference Transcript",seekingalpha/CELH,,,2026-09-22 16:55:06
2026-09-08,TTWO,GTA 6 download data suggests PlayStation may be extending its lead over Xbox,seekingalpha/TTWO,,,2026-09-22 16:55:06
2026-09-09,CELH,Celsius: The Growth Story Is Far From Over,seekingalpha/CELH,,,2026-09-22 16:55:06
2026-09-10,CELH,"Celsius: A Stronger Portfolio, But The Core Brand Still Needs To Prove Its Recovery",seekingalpha/CELH,,,2026-09-22 16:55:06
2026-09-11,CELH,Celsius CEO buys 18K shares,seekingalpha/CELH,,,2026-09-22 16:55:06
2026-09-17,AAPL,"Apple's Quality Is Tempting, But I'm Put Off By The Valuation",seekingalpha/AAPL,,,2026-09-22 16:55:06
2026-09-18,AAPL,"Apple: The $1,999 iPhone Hides A Bigger Problem",seekingalpha/AAPL,,,2026-09-22 16:55:06
2026-09-18,AAPL,Meta's personal AI agent Muse hits No. 1 on Apple's App Store,seekingalpha/AAPL,,,2026-09-22 16:55:06
2026-09-18,AAPL,Over half of Apple users plan to upgrade to iPhone 18: survey,seekingalpha/AAPL,,,2026-09-22 16:55:06
2026-09-18,CELH,"Celsius, Albertsons among mid-cap consumer staple stocks with weakest momentum grades",seekingalpha/CELH,,,2026-09-22 16:55:06
2026-09-21,AAPL,"Delivery times for iPhone 18 Pro and Pro Max 'slightly higher' than last year, Citi says",seekingalpha/AAPL,,,2026-09-22 16:55:06
2026-09-21,MSFT,Microsoft CEO Nadella to join Trump-Xi meeting: report,seekingalpha/MSFT,,,2026-09-22 16:55:06
2026-09-21,MSFT,"Microsoft could boost cloud revenue, may unveil SpaceX deal soon: BNP Paribas",seekingalpha/MSFT,,,2026-09-22 16:55:06
2026-09-21,MSFT,Pope Leo XIV says AI must be guided by 'wisdom and charity',seekingalpha/MSFT,,,2026-09-22 16:55:06
2026-09-21,NVDA,Nvidia: One Of 5 AI Stocks Down Big (Relative To Earnings),seekingalpha/NVDA,,,2026-09-22 16:55:06
2026-09-21,NVDA,Why I Like Micron Better Than Nvidia,seekingalpha/NVDA,,,2026-09-22 16:55:06
2026-09-21,NVDA,Worried About An AI Bubble? Buy Nvidia Anyway,seekingalpha/NVDA,,,2026-09-22 16:55:06
2026-09-22,AAPL,Beats unveils new $350 over-ear headphones,seekingalpha/AAPL,,,2026-09-22 16:55:06
2026-09-22,MSFT,Microsoft slips even as Oppenheimer ups price target,seekingalpha/MSFT,,,2026-09-22 16:55:06
2026-09-22,MSFT,Microsoft’s Xbox cuts 268 roles as Activision takes over ‘Halo’,seekingalpha/MSFT,,,2026-09-22 16:55:06
2026-09-22,MSFT,OpenAI president and MAGA Inc. mega-donor Brockman plans to attend Trump-Xi dinner: report,seekingalpha/MSFT,,,2026-09-22 16:55:06
2026-09-22,NVDA,Nvidia Is Building An AI Empire Rivals Cannot Replicate,seekingalpha/NVDA,,,2026-09-22 16:55:06
2026-09-22,NVDA,Nvidia-backed AI drugmaker Iambic Therapeutics seeks U.S. listing,seekingalpha/NVDA,,,2026-09-22 16:55:06
2026-09-22,NVDA,"Nvidia: Trucks, Tokens, And A 28x Multiple",seekingalpha/NVDA,,,2026-09-22 16:55:06
