ticker,date,open,close,volume,source
AAPL,2026-09-14,334.79,333.08,39269150,nasdaq
CELH,2026-09-14,27.42,28.45,8842047,nasdaq
MSFT,2026-09-14,497.06,505.41,23091890,nasdaq
NVDA,2026-09-14,211.24,210.96,132267200,nasdaq
TTWO,2026-09-14,218.43,222.91,2193455,nasdaq
AAPL,2026-09-15,330.135,331.34,31748180,nasdaq
CELH,2026-09-15,28.17,27.63,5818911,nasdaq
MSFT,2026-09-15,500.06,497.12,17794610,nasdaq
NVDA,2026-09-15,213.375,212.17,88059660,nasdaq
TTWO,2026-09-15,220.24,211.91,2558959,nasdaq
AAPL,2026-09-16,332.53,332.41,35981000,nasdaq
CELH,2026-09-16,28.72,28.25,6324746,nasdaq
MSFT,2026-09-16,493.03,490.3,16670290,nasdaq
NVDA,2026-09-16,214.14,213.9,96563590,nasdaq
TTWO,2026-09-16,211.59,211.81,2158261,nasdaq
AAPL,2026-09-17,334.77,337.0,36700230,nasdaq
CELH,2026-09-17,28.67,28.34,5754893,nasdaq
MSFT,2026-09-17,497.795,497.75,17841640,nasdaq
NVDA,2026-09-17,218.375,219.34,94191260,nasdaq
TTWO,2026-09-17,212.5,210.62,2637691,nasdaq
AAPL,2026-09-18,337.905,336.13,86588200,nasdaq
CELH,2026-09-18,28.7,28.02,12624270,nasdaq
MSFT,2026-09-18,497.965,493.78,39622290,nasdaq
NVDA,2026-09-18,219.35,222.27,190287400,nasdaq
TTWO,2026-09-18,210.8,205.45,5719444,nasdaq
AAPL,2026-09-21,335.28,338.98,34999230,nasdaq
CELH,2026-09-21,28.095,28.02,8266552,nasdaq
MSFT,2026-09-21,494.945,501.61,27959940,nasdaq
NVDA,2026-09-21,222.935,227.38,109806100,nasdaq
TTWO,2026-09-21,206.2,209.92,2634486,nasdaq
